title,year,genre,country
"How to Be Very, Very Popular",1955,Comedy,USA
Git!,1965,Family,USA
The Journalist,1979,Comedy,AUSTRALIA
Cyber Palestine,1999,Short,USA
Snow Job: The Media Hysteria of AIDS,1986,Experimental,USA
Sheila Levine Is Dead and Living in New York,1975,Comedy,USA
Minstrel Man,1944,Musical,USA
Shûu,1956,Comedy,JAPAN
Na srebrnym globie,1988,Fantasy,POLAND
La demoiselle sauvage,1991,Drama,CANADA
Apa,1966,Drama,HUNGARY
Find the Lady,1956,Comedy,UK
Escape to Witch Mountain,1995,Family,USA
Code Gray: Ethical Dilemmas in Nursing,1984,Documentary,USA
Zazidani,1969,Drama,YUGOSLAVIA
Der kurze Brief zum langen Abschied,1978,Drama,WEST
The Ten Commandments of Krzysztof Kieslowski,1990,Documentary,UK
Larry,1974,TV Movie,USA
They Ran for Their Lives,1968,Adventure,USA
Jane’s House,1994,TV Movie,USA
Dorothy Stratten: The Untold Story,1985,Biography,USA
Tamaño natural (Grandeur nature),1974,Drama,FRANCE
Nan va Koutcheh,1970,Short,IRAN
I Don’t Know,1971,Short,USA
Rita Hayworth: Dancing Into the Dream,1990,Documentary,USA
Hanna Amon,1951,Drama,WEST
Bakumatsu Taiyôden,1957,Comedy,JAPAN
The Proud and Profane,1956,Drama,USA
The Magic Pearl,1996,Animation,USA
Thirty Million Letters,1963,Documentary,UK
A Horse for Danny,1995,Family,USA
Mr. Headmistress,1998,Family,USA
Sesión continua (1984) [U,1984,Drama,SPAIN
Jajko,1982,Short,POLAND
Never Look Back,2000,Action,USA
Wolnosc nogi,1989,Animation,POLAND
